Date,Open,High,Low,Close,MA5,MA_dist_5,MA_slope_5,momentum_5,momentum_ma_5,volatility_5,volatility_ratio_5,price_range_5,MA10,MA_dist_10,MA_slope_10,momentum_10,momentum_ma_10,volatility_10,volatility_ratio_10,price_range_10,MA20,MA_dist_20,MA_slope_20,momentum_20,momentum_ma_20,volatility_20,volatility_ratio_20,price_range_20,MA50,MA_dist_50,MA_slope_50,momentum_50,momentum_ma_50,volatility_50,volatility_ratio_50,price_range_50,returns,volatility,hl_volatility,hl_volatility_ma,intraday_intensity,BB_middle_10,BB_upper_10_1.5,BB_lower_10_1.5,BB_width_10_1.5,BB_upper_10_2.0,BB_lower_10_2.0,BB_width_10_2.0,BB_upper_10_2.5,BB_lower_10_2.5,BB_width_10_2.5,BB_middle_20,BB_upper_20_1.5,BB_lower_20_1.5,BB_width_20_1.5,BB_upper_20_2.0,BB_lower_20_2.0,BB_width_20_2.0,BB_upper_20_2.5,BB_lower_20_2.5,BB_width_20_2.5,BB_middle_50,BB_upper_50_1.5,BB_lower_50_1.5,BB_width_50_1.5,BB_upper_50_2.0,BB_lower_50_2.0,BB_width_50_2.0,BB_upper_50_2.5,BB_lower_50_2.5,BB_width_50_2.5,CPI_CPI_diff,CPI_CPI_YOY_diff,INFLATION_INFLATION_diff,INFLATION_INFLATION_YOY_diff,REAL_GDP_REAL_GDP_diff,UNEMPLOYMENT_UNEMPLOYMENT_diff,IMF_0,IMF_1,IMF_2,IMF_3,IMF_4,IMF_5,IMF_6,IMF_7,trend
2015-01-01,19.273,19.294,19.256,19.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019716702122139916,,0.5526315789473857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6561683870967698,1.4118756953353628,-0.6561683870967698,1.4118756953353628,16081974247843.062,-1.4064516129032256,0.045178521311590766,0.017632620135544737,0.08031743800791147,0.12053249718131193,0.034769201323104106,-0.7511189263484476,1.4902812383109283,18.256407410078058,18.256407410078058
2015-01-02,19.296,19.434,19.284,19.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005182958432673246,,0.00777363184079613,,0.6533333333333172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6432067741935441,1.4118756953353628,-0.6432067741935441,1.4118756953353628,16049701421669.756,-1.4129032258064513,0.1300560339957962,0.02525110395771317,0.08654418080553318,0.12317063754579244,0.03823570418822211,-0.7562659862033958,1.4909976340601805,18.256010691650157,18.256010691650157
2015-01-05,19.384,19.418,19.153,19.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012426523667113498,,0.013671068922822976,,0.8716981132075515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6043219354838669,1.4118756953353628,-0.6043219354838669,1.4118756953353628,15952882943149.842,-1.432258064516129,-0.07691581066450454,-0.006449942065120917,0.08817693584738724,0.12173426138547305,0.04018210213677702,-0.7609654649086802,1.4916356276169735,18.25560229065169,18.25560229065169
2015-01-06,19.152,19.187,18.984,19.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004542369341617447,,0.01059941520467833,,0.4236453201970558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5913603225806412,1.4118756953353628,-0.5913603225806412,1.4118756953353628,15920610116976.537,-1.4387096774193546,-0.11924034071181103,-0.034674627761638016,0.08074486222677847,0.11630967558133516,0.0406925433949957,-0.7652091870797771,1.4921948819381712,18.255182192411947,18.255182192411947
2015-01-07,19.063,19.23,19.052,19.183,19.218,-0.0018212092829638954,,,,0.1277751932105778,,0.0234582703435333,,,,,,,,,,,,,,,,,,,,,,,,,0.006136578202035059,,0.009337460001049196,,0.6741573033707889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5783987096774155,1.4118756953353628,-0.5783987096774155,1.4118756953353628,15888337290803.23,-1.4451612903225808,0.015476252098252019,-0.018189360436509212,0.06007933666264735,0.1073094668898271,0.03988934289331868,-0.7689904803484331,1.4926750599806586,18.254750382260234,18.254750382260234
2015-01-08,19.181,19.264,19.161,19.254,19.21,0.0022904737116085623,,-0.03999999999999915,,0.1229898369785104,,0.023371766905578024,,,,,,,,,,,,,,,,,,,,,,,,,0.003701193765313082,,0.005369897294197277,,0.7087378640776877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5654370967741897,1.4118756953353628,-0.5654370967741897,1.4118756953353628,15856064464629.926,-1.4516129032258065,0.09275970611623069,0.024530883844955796,0.028531342866774317,0.09520283600210941,0.037900779528208986,-0.772308218585465,1.4930758200194019,18.254306850207787,18.254306850207787
2015-01-09,19.242,19.258,19.052,19.053,19.1418,-0.004639062157163856,,-0.3409999999999975,-0.19049999999999834,0.08372992296665145,,0.022778565055371725,,,,,,,,,,,,,,,,,,,,,,,,,-0.010439389217824946,,0.01070574784325951,,0.9174757281553423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.552475483870964,1.4118756953353628,-0.552475483870964,1.4118756953353628,15823791638456.62,-1.4580645161290322,-0.07929745016610912,0.05313032874998943,-0.008230792015306802,0.08045565030180767,0.034856570944492016,-0.7751627144100276,1.4933968016014985,18.25385160499366,18.25385160499366
2015-01-12,19.031,19.199,19.007,19.052,19.1216,-0.0036398627729897714,,-0.10099999999999909,-0.2209999999999983,0.09211568813183506,,0.01469661977745106,,,,,,,,,,,,,,,,,,,,,,,,,-5.24851729386544e-05,,0.010088802480163953,,0.10937500000000405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5135906451612868,1.4118756953353628,-0.5135906451612868,1.4118756953353628,15726973159936.703,-1.4774193548387098,0.002947720314521659,0.030594504017792748,-0.04542979487865329,0.06353311656968172,0.03088645084559406,-0.7775542964999576,1.4936376395921587,18.25338466003886,18.25338466003886
2015-01-13,19.062,19.128,18.953,18.998,19.108,-0.005756751099016089,,-0.06799999999999784,-0.08449999999999847,0.10630380990350913,,0.016370144225707966,,,,,,,,,,,,,,,,,,,,,,,,,-0.0028343480999369897,,0.009180568670653692,,0.36571428571428455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5006290322580611,1.4118756953353628,-0.5006290322580611,1.4118756953353628,15694700333763.396,-1.4838709677419355,0.05730711711903954,-0.021225696563394767,-0.07632271916493565,0.04490044158636845,0.026120152935050305,-0.7794832935330631,1.493797968835745,18.252906028785194,18.252906028785194
2015-01-14,18.998,19.002,18.729,18.89,19.0494,-0.008367717618402574,-0.008773025288791831,-0.29299999999999926,-0.18049999999999855,0.13222253968216346,,0.02832186341979884,19.133699999999997,-0.012736689715005302,,,,0.1514016365682878,,0.037321334039174266,,,,,,,,,,,,,,,,,-0.005684808927255536,,0.014369933677229165,0.009306819614706422,0.39560439560439803,19.133699999999997,19.36080245485243,18.906597545147566,0.02373847764441082,19.436503273136573,18.830896726863422,0.031651303525881094,19.512204091420717,18.755195908579278,0.03956412940735137,,,,,,,,,,,,,,,,,,,,,-0.4876674193548354,1.4118756953353628,-0.4876674193548354,1.4118756953353628,15662427507590.094,-1.4903225806451612,0.04275530511171117,-0.0702646896517602,-0.09354397317282909,0.025022832132648807,0.020687410916280027,-0.7809500341871527,1.4938774240701929,18.252415724780906,18.252415724780906
