货币对,总收益率,Sharpe比率,Sortino比率,最大回撤,胜率,盈亏比,平均收益,最大连续亏损
CNYAUD,-14.09%,-1.41,-1.32,14.09%,14.00%,0.64,-0.07%,1
CNYEUR,-13.66%,-1.12,-1.09,14.85%,23.50%,0.76,-0.03%,1
