date,CPI,CPI_YOY
2014-12-31,236.252,0.6387247515364791
2015-01-31,234.747,0.6387247515364791
2015-02-28,235.342,0.6387247515364791
2015-03-31,235.976,0.6387247515364791
2015-04-30,236.222,0.6387247515364791
2015-05-31,237.001,0.6387247515364791
2015-06-30,237.657,0.6387247515364791
2015-07-31,238.034,0.6387247515364791
2015-08-31,238.033,0.6387247515364791
2015-09-30,237.498,0.6387247515364791
2015-10-31,237.733,0.6387247515364791
2015-11-30,238.017,0.6387247515364791
2015-12-31,237.761,0.6387247515364791
2016-01-31,237.652,1.2375025026943876
2016-02-29,237.336,0.8472775790126619
2016-03-31,238.08,0.8916160965521946
2016-04-30,238.992,1.1726257503534843
2016-05-31,239.557,1.0784764621246223
2016-06-30,240.222,1.0792865347959424
2016-07-31,240.101,0.8683633430518256
2016-08-31,240.545,1.0553158595656864
2016-09-30,241.176,1.5486446201652182
2016-10-31,241.741,1.685924966243646
2016-11-30,242.026,1.6843334719788938
2016-12-31,242.637,2.0507989115119862
2017-01-31,243.618,2.5103933482571117
2017-02-28,244.006,2.8103616813294208
2017-03-31,243.892,2.44119623655914
2017-04-30,244.193,2.176223471915395
2017-05-31,244.004,1.8563431667619756
2017-06-30,244.163,1.640565809959127
2017-07-31,244.243,1.7251073506566073
2017-08-31,245.183,1.92812155729698
2017-09-30,246.435,2.1805652303711787
2017-10-31,246.626,2.020757753132485
2017-11-30,247.284,2.172493864295566
2017-12-31,247.805,2.129930719552253
2018-01-31,248.859,2.151318868063945
2018-02-28,249.529,2.263468931091861
2018-03-31,249.577,2.3309497646499366
2018-04-30,250.227,2.4709963021052994
2018-05-31,250.792,2.781921607842497
2018-06-30,251.018,2.8075506935940187
2018-07-31,251.214,2.854124785561929
2018-08-31,251.663,2.6429238568742575
2018-09-30,252.182,2.332055105808828
2018-10-31,252.772,2.492032470218053
2018-11-30,252.594,2.147328577667773
2018-12-31,252.767,2.0023809043401064
2019-01-31,252.561,1.4875893578291333
2019-02-28,253.319,1.5188615351321877
2019-03-31,254.277,1.8831863513063984
2019-04-30,255.233,2.000583470209061
2019-05-31,255.296,1.7959105553606136
2019-06-30,255.213,1.671194894390049
2019-07-31,255.802,1.826331335037068
2019-08-31,256.036,1.7376412106666406
2019-09-30,256.43,1.6844977040391562
2019-10-31,257.155,1.7339736996186295
2019-11-30,257.879,2.092290394862917
2019-12-31,258.63,2.3195274699624457
2020-01-31,259.127,2.599767976845202
2020-02-29,259.25,2.3413166797595197
2020-03-31,258.076,1.4940399642909163
2020-04-30,256.032,0.3130472940411133
2020-05-31,255.802,0.1982013035848551
2020-06-30,257.042,0.7166562831830481
2020-07-31,258.352,0.9968647625897997
2020-08-31,259.316,1.2810698495523853
2020-09-30,259.997,1.3910228912373812
2020-10-31,260.319,1.2303863428671624
2020-11-30,260.911,1.1757452138405844
2020-12-31,262.045,1.3204191315779434
2021-01-31,262.639,1.3553199782346148
2021-02-28,263.573,1.667502410800381
2021-03-31,264.847,2.623645747764214
2021-04-30,266.625,4.137373453318349
2021-05-31,268.404,4.9264665639830785
2021-06-30,270.71,5.317418943207719
2021-07-31,271.965,5.269167647240969
2021-08-31,272.752,5.181323173271246
2021-09-30,273.942,5.363523425270289
2021-10-31,276.528,6.226591220771449
2021-11-30,278.824,6.865559520296194
2021-12-31,280.806,7.159457345112474
2022-01-31,282.542,7.578082463000535
2022-02-28,284.525,7.949220898953979
2022-03-31,287.467,8.540780148538584
2022-04-30,288.582,8.235161744022502
2022-05-31,291.299,8.530051713089225
2022-06-30,295.072,8.999298141923106
2022-07-31,294.94,8.447778206754553
2022-08-31,295.162,8.216255059541266
2022-09-30,296.421,8.205751582451759
2022-10-31,297.979,7.757261470809462
2022-11-30,298.708,7.131380368978291
2022-12-31,298.808,6.410831677385809
2023-01-31,300.456,6.340296309929161
2023-02-28,301.476,5.957648712766894
2023-03-31,301.643,4.931348641757127
2023-04-30,302.858,4.946947488062325
2023-05-31,303.316,4.125314539356473
2023-06-30,304.099,3.0592533347792994
2023-07-31,304.615,3.28032820234625
2023-08-31,306.138,3.7186358677607556
2023-09-30,307.374,3.6950823322234427
2023-10-31,307.653,3.2465375076767167
2023-11-30,308.087,3.139855644977696
2023-12-31,308.735,3.322200208829762
2024-01-31,309.794,3.1079425939238847
2024-02-29,311.022,3.16642120765831
2024-03-31,312.107,3.4690014354717524
2024-04-30,313.016,3.3540471111874304
2024-05-31,313.14,3.238866396761142
2024-06-30,313.131,2.9700853998204435
2024-07-31,313.566,2.9384633061405374
2024-08-31,314.131,2.6109140322338353
2024-09-30,314.851,2.432541464144644
2024-10-31,315.564,2.5714034967967203
2024-11-30,316.449,2.7141684004842848
2024-12-31,317.603,2.872366268806581
2025-01-31,319.086,2.999412512831112
2025-02-28,319.775,2.8142703731568686
