date,INFLATION,INFLATION_YOY
2014-12-31,99.0,1.6161616161616044
2015-01-31,99.3,1.6161616161616044
2015-02-28,100.5,1.6161616161616044
2015-03-31,99.9,1.6161616161616044
2015-04-30,99.7,1.6161616161616044
2015-05-31,99.5,1.6161616161616044
2015-06-30,99.5,1.6161616161616044
2015-07-31,99.9,1.6161616161616044
2015-08-31,100.4,1.6161616161616044
2015-09-30,100.5,1.6161616161616044
2015-10-31,100.1,1.6161616161616044
2015-11-30,100.1,1.6161616161616044
2015-12-31,100.6,1.6161616161616044
2016-01-31,101.1,1.812688821752273
2016-02-29,102.7,2.189054726368167
2016-03-31,102.2,2.302302302302306
2016-04-30,102.0,2.306920762286868
2016-05-31,101.6,2.1105527638190846
2016-06-30,101.4,1.9095477386934734
2016-07-31,101.6,1.7017017017016967
2016-08-31,101.7,1.294820717131473
2016-09-30,102.4,1.8905472636816079
2016-10-31,102.3,2.19780219780219
2016-11-30,102.4,2.29770229770232
2016-12-31,102.6,1.988071570576544
2017-01-31,103.7,2.571711177052438
2017-02-28,103.5,0.778967867575453
2017-03-31,103.2,0.9784735812133016
2017-04-30,103.2,1.17647058823529
2017-05-31,103.3,1.67322834645669
2017-06-30,103.1,1.6765285996055201
2017-07-31,103.0,1.3779527559055094
2017-08-31,103.5,1.7699115044247815
2017-09-30,104.1,1.6601562499999778
2017-10-31,104.2,1.8572825024437911
2017-11-30,104.2,1.7578125
2017-12-31,104.5,1.85185185185186
2018-01-31,105.2,1.4464802314368308
2018-02-28,106.5,2.898550724637672
2018-03-31,105.3,2.034883720930236
2018-04-30,105.1,1.8410852713178105
2018-05-31,104.9,1.5488867376573179
2018-06-30,104.9,1.7458777885548171
2018-07-31,105.2,2.1359223300970953
2018-08-31,105.9,2.3188405797101463
2018-09-30,106.6,2.401536983669539
2018-10-31,106.8,2.49520153550864
2018-11-30,106.4,2.111324376199608
2018-12-31,106.5,1.9138755980861344
2019-01-31,107.0,1.7110266159695797
2019-02-28,108.1,1.5023474178403662
2019-03-31,107.7,2.279202279202286
2019-04-30,107.8,2.5689819219790744
2019-05-31,107.8,2.764537654909427
2019-06-30,107.7,2.669208770257381
2019-07-31,108.1,2.756653992395419
2019-08-31,108.9,2.8328611898017053
2019-09-30,109.8,3.0018761726078758
2019-10-31,110.8,3.7453183520599342
2019-11-30,111.2,4.5112781954887105
2019-12-31,111.2,4.413145539906105
2020-01-31,112.8,5.42056074766355
2020-02-29,113.7,5.18038852913969
2020-03-31,112.3,4.271123491179196
2020-04-30,111.3,3.2467532467532534
2020-05-31,110.4,2.4118738404452778
2020-06-30,110.4,2.506963788300842
2020-07-31,110.0,1.757631822386685
2020-08-31,111.5,2.3875114784205564
2020-09-30,111.7,1.7304189435336959
2020-10-31,111.4,0.5415162454873723
2020-11-30,110.7,-0.4496402877697814
2020-12-31,111.5,0.2697841726618577
2021-01-31,112.55,-0.22163120567375572
2021-02-28,113.2193,-0.4227792436235722
2021-03-31,112.6615,0.3219056099732942
2021-04-30,112.3269,0.9226415094339524
2021-05-31,112.2154,1.6443840579710045
2021-06-30,111.7692,1.2402173913043324
2021-07-31,112.1038,1.9125454545454668
2021-08-31,112.2154,0.6416143497757876
2021-09-30,112.2154,0.46141450313339494
2021-10-31,112.9962,1.4328545780969426
2021-11-30,113.4424,2.477326106594413
2021-12-31,113.1077,1.4418834080717424
2022-01-31,113.6655,0.9911150599733354
2022-02-28,114.3347,0.9851677231708766
2022-03-31,114.3347,1.4851568637023194
2022-04-30,114.7809,2.1846948504766095
2022-05-31,114.5578,2.0874140269517394
2022-06-30,114.5578,2.4949628341260466
2022-07-31,115.1156,2.686617224393806
2022-08-31,115.00399999999999,2.4850421599887262
2022-09-30,115.3387,2.783307816930658
2022-10-31,115.4502,2.1717544483796702
2022-11-30,115.2271,1.5732212999724826
2022-12-31,115.1156,1.7752107062560807
2023-01-31,116.0079,2.0607836150811076
2023-02-28,115.4502,0.9756443144557148
2023-03-31,115.1156,0.6829947513746992
2023-04-30,114.8925,0.09722872010935468
2023-05-31,114.7809,0.1947488516713891
2023-06-30,114.5578,0.0
2023-07-31,114.7809,-0.29075121008794724
2023-08-31,115.1156,0.09704010295294996
2023-09-30,115.3387,0.0
2023-10-31,115.2271,-0.19324349373149863
2023-11-30,114.6694,-0.48400072552376994
2023-12-31,114.7809,-0.29075121008794724
2024-01-31,115.00399999999999,-0.8653720996587455
2024-02-29,116.23100000000001,0.6763089193435823
2024-03-31,115.2271,0.09685915722976723
2024-04-30,115.1156,0.1941815175054984
2024-05-31,115.1156,0.29159903781901253
2024-06-30,114.7809,0.1947488516713891
2024-07-31,115.3387,0.4859693555286704
2024-08-31,115.7848,0.5813286817772712
2024-09-30,115.7848,0.38677391023134167
2024-10-31,115.5617,0.2903830782862826
2024-11-30,114.8925,0.1945593157372416
2024-12-31,114.8925,0.09722872010935468
2025-01-31,115.5617,0.48493965427289787
2025-02-28,115.3387,-0.7676953652640095
