date,CPI,CPI_YOY
2014-12-31,99.78,0.25055121266785996
2015-01-31,98.24,0.25055121266785996
2015-02-28,98.85,0.25055121266785996
2015-03-31,100.0,0.25055121266785996
2015-04-30,100.43,0.25055121266785996
2015-05-31,100.71,0.25055121266785996
2015-06-30,100.72,0.25055121266785996
2015-07-31,100.11,0.25055121266785996
2015-08-31,100.12,0.25055121266785996
2015-09-30,100.32,0.25055121266785996
2015-10-31,100.45,0.25055121266785996
2015-11-30,100.01,0.25055121266785996
2015-12-31,100.03,0.25055121266785996
2016-01-31,98.56,0.32573289902280145
2016-02-29,98.73,-0.12139605462822001
2016-03-31,99.96,-0.0400000000000067
2016-04-30,100.17,-0.2588867868166922
2016-05-31,100.59,-0.11915400655345687
2016-06-30,100.77,0.04964257347099821
2016-07-31,100.28,0.1698132054739787
2016-08-31,100.34,0.21973631642029368
2016-09-30,100.72,0.3987240829346206
2016-10-31,100.96,0.5077152812344332
2016-11-30,100.6,0.589941005899397
2016-12-31,101.13,1.0996700989702957
2017-01-31,100.26,1.7248376623376638
2017-02-28,100.66,1.954826293932932
2017-03-31,101.49,1.5306122448979664
2017-04-30,102.07,1.8967754816811233
2017-05-31,101.98,1.381847102097633
2017-06-30,102.08,1.299990076411639
2017-07-31,101.62,1.3362584762664609
2017-08-31,101.89,1.5447478572852225
2017-09-30,102.29,1.5587768069896812
2017-10-31,102.34,1.3668779714738566
2017-11-30,102.14,1.5308151093439415
2017-12-31,102.49,1.3448037179867534
2018-01-31,101.56,1.2966287652104391
2018-02-28,101.78,1.1126564673157313
2018-03-31,102.91,1.3991526258744669
2018-04-30,103.32,1.224649750171447
2018-05-31,103.97,1.9513630123553671
2018-06-30,104.09,1.969043887147337
2018-07-31,103.85,2.194449911434737
2018-08-31,104.01,2.0806752380017723
2018-09-30,104.42,2.082314986802225
2018-10-31,104.68,2.286495993746329
2018-11-30,104.1,1.9189347953788793
2018-12-31,104.05,1.5220997170455774
2019-01-31,102.97,1.38834186687673
2019-02-28,103.3,1.4934171742974955
2019-03-31,104.35,1.3992809250801708
2019-04-30,105.1,1.7228029423151492
2019-05-31,105.24,1.2215062037125968
2019-06-30,105.41,1.2681333461427524
2019-07-31,104.91,1.0207029369282639
2019-08-31,105.06,1.009518315546587
2019-09-30,105.29,0.8331737215092838
2019-10-31,105.44,0.726022162781792
2019-11-30,105.1,0.9606147934678289
2019-12-31,105.43,1.326285439692465
2020-01-31,104.37,1.359619306594162
2020-02-29,104.56,1.219748305905144
2020-03-31,105.13,0.7474844274077741
2020-04-30,105.43,0.3139866793530066
2020-05-31,105.33,0.08551881413911833
2020-06-30,105.69,0.2656294469215448
2020-07-31,105.32,0.39081117148032085
2020-08-31,104.88,-0.17133066818961762
2020-09-30,104.96,-0.31342007788015547
2020-10-31,105.15,-0.2750379362670641
2020-11-30,104.8,-0.2854424357754515
2020-12-31,105.15,-0.2655790571943428
2021-01-31,105.32,0.9102232442272484
2021-02-28,105.54,0.9372609028309054
2021-03-31,106.53,1.331684580994974
2021-04-30,107.14,1.6219292421511877
2021-05-31,107.42,1.9842400075951838
2021-06-30,107.7,1.9017882486517257
2021-07-31,107.6,2.1648309912647212
2021-08-31,107.98,2.9557589626239666
2021-09-30,108.49,3.3631859756097615
2021-10-31,109.41,4.051355206847362
2021-11-30,109.9,4.8664122137404675
2021-12-31,110.37,4.964336661911561
2022-01-31,110.7,5.108241549563242
2022-02-28,111.74,5.874549933674422
2022-03-31,114.46,7.443912512907147
2022-04-30,115.11,7.438865036400966
2022-05-31,116.07,8.052504189164011
2022-06-30,117.01,8.644382544104001
2022-07-31,117.14,8.866171003717472
2022-08-31,117.85,9.140581589183183
2022-09-30,119.26,9.927182228776864
2022-10-31,121.03,10.62060140754959
2022-11-30,120.95,10.05459508644222
2022-12-31,120.52,9.196339585032165
2023-01-31,120.27,8.64498644986449
2023-02-28,121.24,8.501879362806509
2023-03-31,122.34,6.884501135767973
2023-04-30,123.11,6.949874033533132
2023-05-31,123.14,6.0911518911002105
2023-06-30,123.45,5.503803093752668
2023-07-31,123.32,5.275738432644683
2023-08-31,124.0,5.218498090793378
2023-09-30,124.4,4.309911118564491
2023-10-31,124.51,2.8753201685532526
2023-11-30,123.82,2.372881355932188
2023-12-31,124.02,2.9040823099900415
2024-01-31,123.58,2.752141016047238
2024-02-29,124.35,2.5651600131969543
2024-03-31,125.29,2.4113127350008146
2024-04-30,126.01,2.35561692795061
2024-05-31,126.28,2.549943154133505
2024-06-30,126.55,2.5111381125961785
2024-07-31,126.5,2.5786571521245527
2024-08-31,126.67,2.1532258064516085
2024-09-30,126.56,1.7363344051446905
2024-10-31,126.99,1.9918078869167077
2024-11-30,126.58,2.2290421579712616
2024-12-31,127.03,2.4270278987260197
2025-01-31,126.67,2.5004045962129906
2025-02-28,127.22,2.308001608363486
